Type,Indicator,Description,Info
SHA1,323e033566d06a2b5e2873fbc2f846d2c768f2e9,AvNeutralizer,AvNeutralizer
SHA1,39d01edefd751a59e17319e81362bca911e80fba,AvNeutralizer,AvNeutralizer
SHA1,6b406be948fff3a6510345048343abd570fc7fb9,AvNeutralizer,AvNeutralizer
SHA1,8a03580d29fe1dcc3de9fffaf8960bc339ecd994,AvNeutralizer,AvNeutralizer
SHA1,a672c2c05e72b1d9d61e5977ec5e436bfac9c9b7,AvNeutralizer,AvNeutralizer
SHA1,c73cd7c4475a03cbd88942a37ef437487d99e21c,AvNeutralizer,AvNeutralizer
SHA1,f7b0369169dff3f10e974b9a10ec15f7a81dec54,AvNeutralizer,AvNeutralizer
SHA1,f9aad333dc17763dfcf33ec13e560a6b89c5d335,AvNeutralizer,AvNeutralizer
SHA1,ff11360f6ad22ba2629489ac286b6fdf4190846e,AvNeutralizer,AvNeutralizer
IP Address,193[.]178[.]210[.]227,FIN7 staging server IP,FIN7
IP Address,45[.]87[.]154[.]208,FIN7 staging server IP,FIN7
IP Address,37[.]157[.]254[.]8,FIN7 Core Impact C2 IP,FIN7
IP Address,213[.]109[.]192[.]198,FIN7 Core Impact C2 IP,FIN7
IP Address,213[.]109[.]192[.]116,FIN7 Core Impact C2 IP,FIN7
IP Address,104[.]193[.]255[.]99,FIN7 Core Impact C2 IP,FIN7
IP Address,194[.]180[.]174[.]86,FIN7 Core Impact/Diceloader C2 IP,FIN7
IP Address,91[.]199[.]147[.]152,FIN7 Diceloader C2 IP,FIN7
IP Address,193[.]109[.]120[.]69,FIN7 Diceloader C2 IP,FIN7
IP Address,194[.]180[.]191[.]85,FIN7 Diceloader C2 IP,FIN7
IP Address,185[.]117[.]88[.]245,FIN7 SSH-based backdoor C2 IP,FIN7
IP Address,80[.]71[.]157[.]173,FIN7 SSH-based backdoor C2 IP,FIN7
IP Address,15[.]235[.]156[.]105,FIN7 SSH-based backdoor C2 IP,FIN7
IP Address,185[.]117[.]119[.]108,FIN7 SSH-based backdoor C2 IP,FIN7
IP Address,185[.]234[.]247[.]62,FIN7 SSH-based backdoor C2 IP,FIN7
IP Address,194[.]104[.]136[.]113,FIN7 SSH-based backdoor C2 IP,FIN7
IP Address,185[.]232[.]170[.]83,FIN7 SSH-based backdoor C2 IP,FIN7
IP Address,91[.]149[.]243[.]129,Core Impact C2 IP,FIN7
IP Address,194[.]87[.]82[.]7,Diceloader C2 IP,FIN7
IP Address,195[.]123[.]246[.]20,Diceloader C2 IP,FIN7
IP Address,217[.]12[.]206[.]176,Diceloader C2 IP,FIN7
IP Address,45[.]136[.]199[.]128,Diceloader C2 IP,FIN7
IP Address,45[.]66[.]249[.]75,Diceloader C2 IP,FIN7
IP Address,94[.]158[.]244[.]107,Diceloader C2 IP,FIN7
IP Address,5[.]252[.]177[.]7,Diceloader C2 IP,FIN7
IP Address,94[.]158[.]244[.]23,Diceloader C2 IP,FIN7
IP Address,193[.]42[.]36[.]231,Diceloader C2 IP,FIN7
IP Address,94[.]140[.]114[.]173,Diceloader C2 IP,FIN7
IP Address,185[.]232[.]170[.]205,Diceloader C2 IP,FIN7
IP Address,185[.]250[.]151[.]60,Diceloader C2 IP,FIN7
IP Address,207[.]246[.]92[.]213,Diceloader C2 IP,FIN7
IP Address,162[.]248[.]225[.]148,Diceloader C2 IP,FIN7
IP Address,185[.]172[.]129[.]70,Diceloader C2 IP,FIN7
IP Address,46[.]17[.]107[.]7,Diceloader C2 IP,FIN7
IP Address,185[.]250[.]151[.]33,Diceloader C2 IP,FIN7
IP Address,46[.]17[.]107[.]32,Diceloader C2 IP,FIN7
IP Address,185[.]250[.]151[.]141,Diceloader C2 IP,FIN7
IP Address,91[.]193[.]19[.]163,Diceloader C2 IP,FIN7
IP Address,208[.]88[.]226[.]158,Diceloader C2 IP,FIN7
IP Address,108[.]170[.]20[.]89,Diceloader C2 IP,FIN7
IP Address,195[.]123[.]240[.]46,Diceloader C2 IP,FIN7
IP Address,185[.]16[.]40[.]108,Diceloader C2 IP,FIN7
IP Address,95[.]123[.]243[.]169,Diceloader C2 IP,FIN7
IP Address,184[.]95[.]51[.]185,Diceloader C2 IP,FIN7
IP Address,198[.]15[.]119[.]69,Diceloader C2 IP,FIN7
IP Address,37[.]1[.]210[.]119,Diceloader C2 IP,FIN7
IP Address,185[.]33[.]87[.]24,Diceloader C2 IP,FIN7
IP Address,192[.]248[.]188[.]166,Diceloader C2 IP,FIN7
IP Address,185[.]244[.]151[.]114,Diceloader C2 IP,FIN7
IP Address,194[.]87[.]191[.]198,Diceloader C2 IP,FIN7
IP Address,85[.]239[.]54[.]214,Diceloader C2 IP,FIN7
IP Address,185[.]161[.]210[.]11,Diceloader C2 IP,FIN7
IP Address,95[.]216[.]251[.]213,Diceloader C2 IP,FIN7
IP Address,95[.]217[.]102[.]49,Diceloader C2 IP,FIN7
IP Address,62[.]233[.]57[.]163,Diceloader C2 IP,FIN7
IP Address,193[.]233[.]22[.]68,Diceloader C2 IP,FIN7
IP Address,146[.]59[.]217[.]154,Diceloader C2 IP,FIN7
IP Address,193[.]233[.]23[.]158,Diceloader C2 IP,FIN7
IP Address,91[.]199[.]147[.]60,Diceloader C2 IP,FIN7
IP Address,62[.]233[.]57[.]31,Diceloader C2 IP,FIN7
IP Address,95[.]217[.]82[.]121,Diceloader C2 IP,FIN7
IP Address,45[.]82[.]13[.]64,Diceloader C2 IP,FIN7
IP Address,91[.]149[.]253[.]184,Diceloader C2 IP,FIN7
IP Address,193[.]233[.]23[.]59,Diceloader C2 IP,FIN7
IP Address,65[.]108[.]20[.]101,Diceloader C2 IP,FIN7
IP Address,62[.]233[.]57[.]241,Diceloader C2 IP,FIN7
IP Address,65[.]108[.]20[.]165,Diceloader C2 IP,FIN7
IP Address,79[.]141[.]162[.]131,Diceloader C2 IP,FIN7
IP Address,62[.]233[.]57[.]19,Diceloader C2 IP,FIN7
IP Address,185[.]161[.]208[.]45,Diceloader C2 IP,FIN7
IP Address,176[.]97[.]75[.]244,Diceloader C2 IP,FIN7
IP Address,195[.]123[.]246[.]46,Diceloader C2 IP,FIN7
IP Address,91[.]149[.]221[.]195,Diceloader C2 IP,FIN7
IP Address,193[.]233[.]23[.]45,Diceloader C2 IP,FIN7
IP Address,194[.]87[.]82[.]7,Diceloader C2 IP,FIN7
IP Address,195[.]123[.]246[.]20,Diceloader C2 IP,FIN7
IP Address,195[.]123[.]218[.]99,Cobaltstrike C2 IP,Cobaltstrike
IP Address,5[.]161[.]41[.]51,Minodo Backdoor C2 IP,Minodo
URL,hxxp://193.178.210[.]227/work_53.bin_m7.ps1,FIN7 URL delivering Core Impact implant packed with Powertrash,FIN7
URL,hxxp://45.87.154[.]208/work_53m8.ps1,FIN7 URL delivering Core Impact implant packed with Powertrash,FIN7
URL,hxxp://45.87.154[.]208/icsnd3b_64refl.ps1,FIN7 URL delivering Diceloader packed with Powertrash,FIN7
File MD5,ab29b9e225a05bd17e919e1d0587289e,DNS BEACON,FIN7
File MD5,1c3b19163a3b15b39ae00bbe131b499a,DARKSIDE,DARKSIDE
File MD5,230a681ebbcdba7ae2175f159394d044,DARKSIDE,DARKSIDE
File MD5,bf41fc54f96d0106d34f1c48827006e4,DARKSIDE,DARKSIDE
File MD5,c4da0137cbb99626fd44da707ae1bca8,DARKSIDE,DARKSIDE
File MD5,28e9581ab34297b6e5f817f93281ffac,FIN7 BEACON,FIN7
File MD5,38786bc9de1f447d0187607eaae63f11,FIN7 BEACON,FIN7
File MD5,6fba605c2a02fc62e6ff1fb8e932a935,FIN7 BEAKDROP,FIN7
File MD5,ab29b9e225a05bd17e919e1d0587289e,DNS BEACON,FIN7
File MD5,1c3b19163a3b15b39ae00bbe131b499a,DARKSIDE,DARKSIDE
File MD5,230a681ebbcdba7ae2175f159394d044,DARKSIDE,DARKSIDE
File MD5,bf41fc54f96d0106d34f1c48827006e4,DARKSIDE,DARKSIDE
File MD5,c4da0137cbb99626fd44da707ae1bca8,DARKSIDE,DARKSIDE
File MD5,28e9581ab34297b6e5f817f93281ffac,FIN7 BEACON,FIN7
File MD5,38786bc9de1f447d0187607eaae63f11,FIN7 BEACON,FIN7
File MD5,6fba605c2a02fc62e6ff1fb8e932a935,FIN7 BEAKDROP,FIN7
Indicator,0c6b41d25214f04abf9770a7bdfcee5d,BOATLAUNCH 32bit,BOATLAUNCH
Indicator,21f153810b82852074f0f0f19c0b3208,BOATLAUNCH 64bit,BOATLAUNCH
Indicator,02699f95f8568f52a00c6d0551be2de5,POWERPLANT,POWERPLANT
Indicator,0291df4f7303775225c4044c8f054360,POWERPLANT,POWERPLANT
Indicator,0fde02d159c4cd5bf721410ea9e72ee2,POWERPLANT,POWERPLANT
Indicator,2cbb015d4c579e464d157faa16994f86,POWERPLANT,POWERPLANT
Indicator,3803c82c1b2e28e3e6cca3ca73e6cce7,POWERPLANT,POWERPLANT
Indicator,5a6bbcc1e44d3a612222df5238f5e7a8,POWERPLANT,POWERPLANT
Indicator,833ae560a2347d5daf05d1f670a40c54,POWERPLANT,POWERPLANT
Indicator,b637d33dbb951e7ad7fa198cbc9f78bc,POWERPLANT,POWERPLANT
Indicator,bce9b919fa97e2429d14f255acfb18b4,POWERPLANT,POWERPLANT
Indicator,d1d8902b499b5938404f8cece2918d3d,POWERPLANT,POWERPLANT
Indicator,edb1f62230123abf88231fc1a7190b60,POWERPLANT,POWERPLANT
URL,findoutcredit[.]com,POWERPLANT C2,POWERPLANT
URL,againcome[.]com,POWERPLANT C2,POWERPLANT
